dian/1997/q2/,inq21997.tgz,1313668.nc,19970529,-19.4167,55.5167,3.00000,901.000,5.94000,26.0100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313785.nc,19970401,8.8167,52.4667,3.00000,830.000,8.72000,29.1700,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313786.nc,19970401,7.1833,52.8667,3.00000,871.000,8.76000,29.0100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313787.nc,19970401,5.4500,53.1833,3.00000,861.000,8.97000,29.3400,,
woce-uot,./data/basins/sc/indian/1997/q2/,
