6.3","+/-0.3","77.2","+/-0.1",,,,,,
"S2101",23.3,,,,,,,,,,,,,
"S2101",23.5,"MEDIAN INCOME IN THE PAST 12 MONTHS (In 2007 Inflation-Adjusted Dollars)",,,,,,,,,,,,
"S2101",24.0,"Civilian population 18 years and over with income","27,164","+/-63","35,699","+/-220","26,226","+/-60",,,,,,
"S2101",25.0,"Male","(X)","(X)","36,181","+/-216","34,982","+/-141",,,,,,
"S2101",26.0,"Female","(X)","(X)","28,083","+/-1,205","20,950","+/-70",,,,,,
"S2101",26.3,,,,,,,,,,,,,
"S2101",26.5,"EDUCATIONAL ATTAINMENT",,,,,,,,,,,,
