nation with one or more other races",261,"Unrelated individuals 15 years and over","25.8","+/-1.7","23.3","+/-1.8"
"003","White alone or in combination with one or more other races",262,"Occupied housing units","374,739","+/-4,285","294,158","+/-4,502"
"003","White alone or in combination with one or more other races",263,"Owner-occupied housing units","63.7","+/-1.0","67.9","+/-1.2"
"003","White alone or in combination with one or more other races",264,"Renter-occupied housing units","36.3","+/-1.0","32.1"
