024",.,"AGE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS",,,,
"B17024",.,"Universe: Population for whom poverty status is determined",,,,
"B17024",1.000,"Total:","108,226","+/-6,138","102,088","114,364"
"B17024",2.000,"Under 6 years:","8,505","+/-1,501","7,004","10,006"
"B17024",3.000,"Under .50","848","+/-796","52","1,644"
"B17024",4.000,".50 to .74","328","+/-539","0","867"
"B17024",5.000,".75 to .99","1,100","+/-804","296","1,904"
"B17024",6.000,"1.00 to 1.24","271","+/-253","18","524"
"B170
