,403699 ,CATTLE CALVES VEAL ,19 ,Fresno ,  ,  ,  ,  ,  ,56797000
2007 ,403699 ,CATTLE CALVES VEAL , 999, State Totals,0 ,  ,0 ,  ,    ,56797000
2007 ,401199 ,CATTLE COWS ,15 ,Del Norte ,  ,  ,  ,  ,  ,11890200
2007 ,401199 ,CATTLE COWS ,27 ,Inyo ,  ,  ,  ,  ,  ,1831500
2007 ,401199 ,CATTLE COWS ,51 ,Mono ,  ,  ,  ,  ,  ,2072000
2007 ,401199 ,CATTLE COWS ,69 ,San Benito ,  ,  ,  ,  ,  ,1404000
2007 ,401199 ,CATTLE COWS ,93 ,Siskiyou ,  ,  ,  ,  ,  ,4968000
2007 ,401199 ,CATTLE COWS , 999, State Totals
