ian labor force","68.3%","0.5","68.1%","0.5",
"DP03",4.0,"Employed","65.9%","0.5","65.2%","0.5",
"DP03",5.0,"Unemployed","2.4%","0.2","2.8%","0.2","*"
"DP03",6.0,"Armed Forces","0.0%","0.1","0.0%","0.1",
"DP03",7.0,"Not in labor force","31.7%","0.5","31.9%","0.5",
"DP03",7.3,,,,,,
"DP03",8.0,"Civilian labor force","360,548","3,421","363,923","3,500",
"DP03",9.0,"Unemployed","3.5","**","4.2","**","*"
"DP03",9.3,,,,,,
"DP03",10.0,"Females 16 years and over","269,145","1,833","275,461","2,089","*"
"DP03",11.0,
