","**","*"
"DP04",0.0,,,,,,
"DP04",0.5,,,,,,
"DP04",0.8,,,,,,
"DP04",1.0,"Total housing units","42,596","68","42,149","91","*"
"DP04",2.0,"Occupied housing units","85.0%","2.4","82.7%","2.0",
"DP04",3.0,"Vacant housing units","15.0%","2.4","17.3%","2.0",
"DP04",3.3,,,,,,
"DP04",4.0,"Homeowner vacancy rate","2.1","**","1.4","**",
"DP04",5.0,"Rental vacancy rate","3.0","2.4","0.0","1.1",
"DP04",5.3,,,,,,
"DP04",5.5,"UNITS IN STRUCTURE",,,,,
"DP04",6.0,"Total housing units","42,596","68","42,149","91","*"
"DP0
