0,"7:00 a.m. to 7:29 a.m.","14.4","+/-1.9","14.1","+/-2.7","14.8","+/-2.5",,,,,,
"S0801",33.0,"7:30 a.m. to 7:59 a.m.","8.5","+/-1.4","5.6","+/-1.8","11.7","+/-2.0",,,,,,
"S0801",34.0,"8:00 a.m. to 8:29 a.m.","10.2","+/-1.9","7.4","+/-2.2","13.2","+/-2.4",,,,,,
"S0801",35.0,"8:30 a.m. to 8:59 a.m.","3.7","+/-1.0","2.7","+/-1.1","4.8","+/-1.5",,,,,,
"S0801",36.0,"9:00 a.m. to 11:59 p.m.","32.5","+/-2.5","33.7","+/-3.8","31.3","+/-3.6",,,,,,
"S0801",36.3,,,,,,,,,,,,,
"S0801",36.5,"TRAVEL TIME TO WORK",,,,,,,,
