,999","15,602","+/-1,690","13,912","17,292"
"B25118",8.000,"$25,000 to $34,999","21,372","+/-2,279","19,093","23,651"
"B25118",9.000,"$35,000 to $49,999","28,096","+/-2,448","25,648","30,544"
"B25118",10.000,"$50,000 to $74,999","35,373","+/-2,715","32,658","38,088"
"B25118",11.000,"$75,000 to $99,999","19,079","+/-2,267","16,812","21,346"
"B25118",12.000,"$100,000 to $149,999","11,467","+/-1,407","10,060","12,874"
"B25118",13.000,"$150,000 or more","3,923","+/-901","3,022","4,824"
"B25118",14.000,"Renter o
