,14.000,"College or graduate school","228,157","+/-7,826","220,331","235,983"
"B18014",15.000,"Not enrolled in school:","666,851","+/-9,460","657,391","676,311"
"B18014",16.000,"Less than high school graduate","79,611","+/-5,995","73,616","85,606"
"B18014",17.000,"High school graduate (includes equivalency)","224,091","+/-9,766","214,325","233,857"
"B18014",18.000,"Some college or associate's degree","158,181","+/-7,540","150,641","165,721"
"B18014",19.000,"Bachelor's degree or higher","204,968","+/-7,598",
