MALE,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
.Total,"18,294",616,452,352,"1,312","1,747","1,556","3,777","2,398","2,131","1,291","2,661"
..Nursery School,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
...Public,577,38,21,16,49,71,61,112,55,52,16,84
...Private,888,15,6,22,22,44,52,218,159,163,100,87
..Kindergarten,         ,         ,         ,         
