)",185,"Service occupations","13.8","+/-1.6","12.1","+/-3.6"
"535","German (032-045)",186,"Sales and office occupations","18.7","+/-1.7","20.3","+/-6.0"
"535","German (032-045)",187,"Farming, fishing, and forestry occupations","0.7","+/-0.4","0.0","+/-0.9"
"535","German (032-045)",188,"Construction, extraction, maintenance, and repair occupations","17.9","+/-1.8","15.9","+/-4.0"
"535","German (032-045)",189,"Production, transportation, and material moving occupations","26.2","+/-1.9","21.9","+/-4.8"
"535","
