07",.,"PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES",,,,
"C06007",.,"Universe: Population 5 years and over in the United States",,,,
"C06007",1.000,"Total:","659,830","+/-572","659,258","660,402"
"C06007",2.000,"Speak only English","371,500","+/-8,051","363,449","379,551"
"C06007",3.000,"Speak language other than English:","288,330","+/-7,952","280,378","296,282"
"C06007",4.000,"Speak English ""very well""","172,559","+/-6,818","165,741","179,377"
"C06007",5.00
