ears,612,152,282,386,4,11,76,60
..65 to 74 years,423,21,20,33,6,-,1,10,2,12,..65 to 74 years,92,18,56,102,-,2,42,5
..75+ years,343,10,4,45,-,-,-,3,-,15,..75+ years,48,19,21,76,-,-,95,7
.RACE/ETHNICITY,,,,,,,,,,,.RACE/ETHNICITY,,,,,,,,
..White alone,"17,378","1,326","1,624","1,715",443,94,561,44,71,"2,119",..White alone,"4,260",678,"1,470","2,018",334,36,240,346
..Black or African American alone,"3,679",192,412,360,58,11,101,1,6,395,..Black or African American alone,868,290,398,449,36,-,44,56
..Asian a
