+/-42.7",,,,
"S1301",10.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N",,,,
"S1301",11.0,"Some other race","4,125","+/-1,041","940","+/-764","228","+/-169","83.3","+/-22.9",,,,
"S1301",12.0,"Two or more races","3,641","+/-1,155","663","+/-521","182","+/-125","30.6","+/-47.5",,,,
"S1301",12.3,,,,,,,,,,,,,
"S1301",13.0,"Hispanic or Latino origin (of any race)","7,837","+/-1,534","1,561","+/-933","199","+/-107","83.4","+/-16.2",,,,
"S1301",14.0,"White alone, not Hispanic or Latin
