","English (015, 022)",171,"Public transportation (excluding taxicab)","0.2","+/-0.2","0.0","+/-0.5"
"529","English (015, 022)",172,"Walked","1.1","+/-0.3","0.5","+/-0.5"
"529","English (015, 022)",173,"Other means","0.7","+/-0.2","0.3","+/-0.3"
"529","English (015, 022)",174,"Worked at home","3.5","+/-0.6","4.4","+/-1.4"
"529","English (015, 022)",175,"Mean travel time to work (minutes)","22.0","+/-0.8","21.4","+/-2.1"
"529","English (015, 022)",176,"Civilian employed population 16 years and over","300,045
