$14,999","143","+/-164","0","307"
"B19037I",56.000,"$15,000 to $19,999","153","+/-152","1","305"
"B19037I",57.000,"$20,000 to $24,999","294","+/-227","67","521"
"B19037I",58.000,"$25,000 to $29,999","649","+/-352","297","1,001"
"B19037I",59.000,"$30,000 to $34,999","216","+/-170","46","386"
"B19037I",60.000,"$35,000 to $39,999","157","+/-167","0","324"
"B19037I",61.000,"$40,000 to $44,999","137","+/-133","4","270"
"B19037I",62.000,"$45,000 to $49,999","402","+/-376","26","778"
"B19037I",63.000,"$50,000 to $
