cles available","42.8","+/-5.0","39.0","+/-5.8","47.1","+/-6.0",,,,,,
"S0801",51.0,"3 or more vehicles available","30.6","+/-4.6","35.2","+/-5.2","25.2","+/-5.1",,,,,,
"S0801",51.3,,,,,,,,,,,,,
"S0801",51.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S0801",52.0,"Means of transportation to work","3.7","(X)","(X)","(X)","(X)","(X)",,,,,,
"S0801",53.0,"Private vehicle occupancy","4.0","(X)","(X)","(X)","(X)","(X)",,,,,,
"S0801",54.0,"Place of work","6.7","(X)","(X)","(X)","(X)","(X)",,,,,,
"S0801",55.0,"Time leaving home 
