Latino",23,"Male","51.1","+/-0.3","50.9","+/-0.7"
"450","Not Hispanic or Latino",24,"Female","48.9","+/-0.3","49.1","+/-0.7"
"450","Not Hispanic or Latino",25,"18 years and over","737,125","+/-192","530,563","+/-192"
"450","Not Hispanic or Latino",26,"Male","48.3","+/-0.1","48.2","+/-0.1"
"450","Not Hispanic or Latino",27,"Female","51.7","+/-0.1","51.8","+/-0.1"
"450","Not Hispanic or Latino",28,"18 to 34 years","229,638","+/-811","142,594","+/-811"
"450","Not Hispanic or Latino",29,"Male","50.8","+/-0.2","
