9 ,TOMATOES PROCESSING ,113 ,Yolo ,42149 ,38.55 ,1624968 ,61.55 ,TON ,100012300
2007 ,378299 ,TOMATOES PROCESSING ,991 ,Sum of Others ,13344 ,45.94 ,612996 ,71.37 ,TONS ,43746500
2007 ,378299 ,TOMATOES PROCESSING , 999, State Totals,322964 ,38.64 ,12479956 ,68.79 ,    ,858513100
2007 ,378999 ,TOMATOES UNSPECIFIED ,53 ,Monterey ,658 ,20.06 ,13200 ,633.11 ,TONS ,8357000
2007 ,378999 ,TOMATOES UNSPECIFIED ,71 ,San Bernardino ,45 ,2.89 ,130 ,953.08 ,TON ,123900
2007 ,378999 ,TOMATOES UNSPECIFIED ,85 ,Santa
