8013",.,"Universe:  Workers 16 years and over who did not work at home",,,,
"B08013",1.000,"Aggregate travel time to work (in minutes):","63,154,695","+/-677,288","62,477,407","63,831,983"
"B08013",2.000,"Male","36,708,240","+/-489,503","36,218,737","37,197,743"
"B08013",3.000,"Female","26,446,455","+/-425,955","26,020,500","26,872,410"
"B08014",.,"SEX OF WORKERS BY VEHICLES AVAILABLE",,,,
"B08014",.,"Universe:  Workers 16 years and over in households",,,,
"B08014",1.000,"Total:","2,259,339","+/-12,946","2,
