,651199 ,EGGS CHICKEN MARKET , 999, State Totals,0 ,  ,378722678 ,0.85 ,    ,322860600
2007 ,651999 ,EGGS CHICKEN UNSPECIFIED ,71 ,San Bernardino ,  ,  ,54496300 ,0.78 ,DOZ ,42688300
2007 ,651999 ,EGGS CHICKEN UNSPECIFIED ,77 ,San Joaquin ,  ,  ,34500000 ,0.73 ,DOZ ,25357000
2007 ,651999 ,EGGS CHICKEN UNSPECIFIED ,991 ,Sum of Others ,  ,  ,2640 ,1.33 ,DOZ ,3500
2007 ,651999 ,EGGS CHICKEN UNSPECIFIED , 999, State Totals,0 ,  ,88998940 ,0.76 ,    ,68048800
2007 ,652299 ,EGGS TURKEY HATCHING ,99 ,Stanisla
