105H",.,"Universe:  White alone, not Hispanic or Latino workers 16 years and over",,,,
"B08105H",1.000,"Total:","240,872","+/-7,860","233,012","248,732"
"B08105H",2.000,"Car, truck, or van - drove alone","202,511","+/-7,152","195,359","209,663"
"B08105H",3.000,"Car, truck, or van - carpooled","17,134","+/-2,314","14,820","19,448"
"B08105H",4.000,"Public transportation (excluding taxicab)","1,968","+/-1,021","947","2,989"
"B08105H",5.000,"Walked","2,700","+/-1,059","1,641","3,759"
"B08105H",6.000,"Taxicab, m
