7 ,501199 ,MILK MARKET FLUID ,115 ,Yuba ,  ,  ,689658 ,18.69 ,CWT ,12890000
2007 ,501199 ,MILK MARKET FLUID ,991 ,Sum of Others ,  ,  ,132369 ,80.00 ,CWT ,10589800
2007 ,501199 ,MILK MARKET FLUID , 999, State Totals,0 ,  ,390722048 ,18.21 ,    ,7116453800
2007 ,398699 ,MINT ,35 ,Lassen ,1000 ,0.04 ,44 ,26000.00 ,TON ,1144000
2007 ,398699 ,MINT ,89 ,Shasta ,1700 ,0.03 ,54 ,26675.93 ,TON ,1440500
2007 ,398699 ,MINT ,93 ,Siskiyou ,1197 ,0.04 ,47 ,27810.64 ,TON ,1307100
2007 ,398699 ,MINT ,991 ,Sum of Oth
