1H",.,"Universe:  White alone, not Hispanic or Latino population",,,,
"B01001H",1.000,"Total:","483,423","+/-11,747","471,676","495,170"
"B01001H",2.000,"Male:","236,552","+/-7,222","229,330","243,774"
"B01001H",3.000,"Under 5 years","13,321","+/-1,811","11,510","15,132"
"B01001H",4.000,"5 to 9 years","13,080","+/-1,706","11,374","14,786"
"B01001H",5.000,"10 to 14 years","12,848","+/-1,681","11,167","14,529"
"B01001H",6.000,"15 to 17 years","8,617","+/-1,156","7,461","9,773"
"B01001H",7.000,"18 and 19 years
