999 ,BARLEY UNSPECIFIED ,19 ,Fresno ,10200 ,1.79 ,18300 ,160.98 ,TON ,2946000
2007 ,113999 ,BARLEY UNSPECIFIED ,21 ,Glenn ,1175 ,1.40 ,1645 ,170.21 ,TONS ,280000
2007 ,113999 ,BARLEY UNSPECIFIED ,29 ,Kern ,1600 ,1.38 ,2210 ,157.47 ,TONS ,348000
2007 ,113999 ,BARLEY UNSPECIFIED ,35 ,Lassen ,200 ,1.75 ,350 ,140.00 ,TON ,49000
2007 ,113999 ,BARLEY UNSPECIFIED ,69 ,San Benito ,400 ,1.02 ,408 ,100.49 ,TON ,41000
2007 ,113999 ,BARLEY UNSPECIFIED ,71 ,San Bernardino ,1267 ,3.53 ,4475 ,185.01 ,TON ,827900
200
