",31.0,"Nonfamily income in the past 12 months","24.0","(X)","(X)","(X)",,,,,,,,
"S2001",0.0,,,,,,,,,,,,,
"S2001",0.5,,"Total","Margin of Error","Male","Margin of Error","Female","Margin of Error",,,,,,
"S2001",1.0,"Population 16 years and over with earnings","552,187","+/-11,908","281,731","+/-7,132","270,456","+/-7,388",,,,,,
"S2001",2.0,"Median earnings (dollars)","20,554","+/-475","25,517","+/-906","16,467","+/-594",,,,,,
"S2001",2.3,,,,,,,,,,,,,
"S2001",3.0,"Full-time, year-round workers with earnings"
