6",.,"Universe:  Occupied housing units",,,,
"B25046",1.000,"Aggregate number of vehicles available:","3,465,637","+/-29,296","3,436,341","3,494,933"
"B25046",2.000,"Owner occupied","2,844,753","+/-29,288","2,815,465","2,874,041"
"B25046",3.000,"Renter occupied","620,884","+/-17,992","602,892","638,876"
"B25047",.,"PLUMBING FACILITIES FOR ALL HOUSING UNITS",,,,
"B25047",.,"Universe:  Housing units",,,,
"B25047",1.000,"Total:","1,812,847","+/-4,143","1,808,704","1,816,990"
"B25047",2.000,"Complete plumbing f
