c/indian/1997/q2/,inq21997.tgz,976174.nc,19970502,-27.0000,34.3000,0.700000,836.100,7.38000,23.7800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976175.nc,19970503,-28.1733,33.3300,0.700000,779.700,8.84000,24.2000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976176.nc,19970503,-29.3000,32.4000,0.700000,836.100,6.83000,24.6600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,976177.nc,19970503,-30.4500,31.4000,0.700000,836.100,5.20000,24.0000,,
woce-uot,./data/basins/sc/indian
