hunting, and mining:","995","+/-437","558","1,432"
"B24050",57.000,"Agriculture, forestry, fishing and hunting","995","+/-437","558","1,432"
"B24050",58.000,"Mining","0","+/-283","0","283"
"B24050",59.000,"Construction","665","+/-431","234","1,096"
"B24050",60.000,"Manufacturing","2,580","+/-747","1,833","3,327"
"B24050",61.000,"Wholesale trade","895","+/-513","382","1,408"
"B24050",62.000,"Retail trade","11,288","+/-1,909","9,379","13,197"
"B24050",63.000,"Transportation and warehousing, and utilities:","6
