25122",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT",,,,
"B25122",.,"Universe:  Renter-occupied housing units",,,,
"B25122",1.000,"Total:","101,186","+/-5,442","95,744","106,628"
"B25122",1.700,"Household income in the past 12 months (in 2007 inflation-adjusted dollars) --",,,,
"B25122",2.000,"Less than $10,000:","9,592","+/-1,711","7,881","11,303"
"B25122",3.000,"With cash rent:","8,790","+/-1,648","7,142","10,438"
"B25122",4.000,"Less than $100","46","+/-75"
