5,000 to $39,999","16,702","+/-2,470","14,232","19,172"
"B19001",9.000,"$40,000 to $44,999","16,580","+/-2,173","14,407","18,753"
"B19001",10.000,"$45,000 to $49,999","13,668","+/-1,894","11,774","15,562"
"B19001",11.000,"$50,000 to $59,999","29,197","+/-3,181","26,016","32,378"
"B19001",12.000,"$60,000 to $74,999","33,684","+/-2,895","30,789","36,579"
"B19001",13.000,"$75,000 to $99,999","34,148","+/-3,087","31,061","37,235"
"B19001",14.000,"$100,000 to $124,999","22,054","+/-2,310","19,744","24,364"
"B190
