e and insurance, and real estate and rental and leasing:","2,598","+/-700","1,898","3,298"
"C24040",15.000,"Finance and insurance","1,292","+/-495","797","1,787"
"C24040",16.000,"Real estate and rental and leasing","1,306","+/-620","686","1,926"
"C24040",17.000,"Professional, scientific, and management, and administrative and waste management services:","6,603","+/-1,333","5,270","7,936"
"C24040",18.000,"Professional, scientific, and technical services","3,736","+/-1,092","2,644","4,828"
"C24040",19.000,"Ma
