,         ,         ,         
...Public,"15,958",529,462,315,"1,266","1,542","1,413","3,343","2,105","1,676","1,069","2,240"
...Private,"2,636",24,28,32,152,183,202,526,340,436,320,394
..High School,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
...Public,"8,165",270,170,128,601,760,622,"1,687","1,188","1,003",509,"1,228"
...Private,929,10,7,3,40,95,32,135,123,142,149,193
..Enrolled in college,98,1,        -,        -,        -,
