in combination with one or more other races",253,"Under 18 years","21.6","+/-2.4","16.0","+/-2.5"
"003","White alone or in combination with one or more other races",254,"Related children under 18 years","21.0","+/-2.4","15.3","+/-2.4"
"003","White alone or in combination with one or more other races",255,"Related children under 5 years","23.6","+/-4.2","17.6","+/-4.2"
"003","White alone or in combination with one or more other races",256,"Related children 5 to 17 years","20.0","+/-2.5","14.3","+/-2.3"
"003"
