, and forestry occupations","76","+/-125","0","201"
"C24010B",7.000,"Construction, extraction, maintenance, and repair occupations","193","+/-184","9","377"
"C24010B",8.000,"Production, transportation, and material moving occupations","266","+/-190","76","456"
"C24010B",9.000,"Female:","3,513","+/-754","2,759","4,267"
"C24010B",10.000,"Management, professional, and related occupations","1,061","+/-542","519","1,603"
"C24010B",11.000,"Service occupations","744","+/-362","382","1,106"
"C24010B",12.000,"Sales 
