MRX)
1830,UNK,SPRING CITY,RHEA,TN,35.69,-84.86,TREE DOWN AT JACKSON ISLAND CAMPGROUND. REPORTED BY SHERIFFS OFFICE. (MRX)
1835,UNK,4 N FALKLAND,PITT,NC,35.76,-77.51,MOBILE HOME OFF FOUNDATION. ROOF BLOWN OFF DOUBLE WIDE MOBILE HOME. NUMEROUS TREES DOWN. STORAGE BUILDINGS DESTROYED. ALL IN SAME AREA NORTH OF HIGHWAY 33 NEAR EDGECOME (MHX)
1847,62,3 E FUQUAY-VARINA,WAKE,NC,35.59,-78.74,SPOTTER MEASURED 62 MILES AN HOUR. WIND GUST. (RAH)
1857,58,3 E STOKES,PITT,NC,35.71,-77.21,(MHX)
1900,UNK,MONTICELLO,JASPER,
