00 to $49,999","9.9","+/-0.6","9.3","+/-0.6","11.5","+/-1.2","9.5","+/-6.9",,,,
"S0601",44.0,"$50,000 to $64,999","4.7","+/-0.3","4.3","+/-0.4","5.9","+/-0.7","12.4","+/-9.5",,,,
"S0601",45.0,"$65,000 to $74,999","1.9","+/-0.2","1.7","+/-0.3","2.4","+/-0.4","2.2","+/-2.6",,,,
"S0601",46.0,"$75,000 or more","4.5","+/-0.3","3.6","+/-0.3","6.4","+/-0.8","8.6","+/-5.1",,,,
"S0601",46.3,,,,,,,,,,,,,
"S0601",47.0,"Median income (dollars)","16,897","+/-417","15,864","+/-471","20,394","+/-912","24,946","+/-10,410",
