7023",.,"Universe:  Families",,,,
"B17023",1.000,"Total:","1,189,043","+/-9,765","1,179,278","1,198,808"
"B17023",2.000,"Income in the past 12 months below poverty level:","60,267","+/-4,280","55,987","64,547"
"B17023",3.000,"Married-couple family:","22,695","+/-2,362","20,333","25,057"
"B17023",4.000,"No own child","9,462","+/-1,560","7,902","11,022"
"B17023",5.000,"1 or 2 own children","8,447","+/-1,525","6,922","9,972"
"B17023",6.000,"3 or 4 own children","3,785","+/-998","2,787","4,783"
"B17023",7.000,"
