50, 081)",3,"Two races","3.0","+/-0.4","2.1","+/-0.9"
"541","Irish (050, 081)",4,"Three races","0.2","+/-0.1","0.2","+/-0.3"
"541","Irish (050, 081)",5,"Four or more races","0.0","+/-0.1","0.0","+/-0.2"
"541","Irish (050, 081)",6,"Male","48.9","+/-0.1","46.8","+/-2.3"
"541","Irish (050, 081)",7,"Female","51.1","+/-0.1","53.2","+/-2.3"
"541","Irish (050, 081)",8,"Under 5 years","6.9","+/-0.1","6.6","+/-1.4"
"541","Irish (050, 081)",9,"5 to 17 years","16.8","+/-0.1","13.6","+/-1.7"
"541","Irish (050, 081)",10
