B07404G",.,"Universe:  Two or more races population 1 year and over in the United States",,,,
"B07404G",1.0000,"Total living in area 1 year ago:","33,821","+/-3,162","30,659","36,983"
"B07404G",2.0000,"Same house","25,754","+/-3,183","22,571","28,937"
"B07404G",3.0000,"Moved within same county","5,146","+/-1,755","3,391","6,901"
"B07404G",4.0000,"Moved to different county within same state","1,820","+/-706","1,114","2,526"
"B07404G",5.0000,"Moved to different state","1,101","+/-720","381","1,821"
"B07404H",
