nic or Latino",231,"Male householder, no spouse present, family","7.8","+/-1.0","6.9","+/-1.1"
"450","Not Hispanic or Latino",232,"Median income (dollars)","41,590","+/-8,632","45,508","+/-9,103"
"450","Not Hispanic or Latino",233,"Female householder, no husband present, family","15.2","+/-1.4","14.6","+/-1.3"
"450","Not Hispanic or Latino",234,"Median income (dollars)","32,279","+/-2,998","34,282","+/-4,537"
"450","Not Hispanic or Latino",235,"Individuals","803,060","+/-8,136","644,731","+/-5,862"
"450","N
