50,000 to $74,999","4,994","+/-1,208","3,786","6,202"
"C20005I",11.000,"$75,000 or more","4,411","+/-1,101","3,310","5,512"
"C20005I",12.000,"Other:","25,579","+/-2,357","23,222","27,936"
"C20005I",13.000,"No earnings","9,768","+/-1,439","8,329","11,207"
"C20005I",14.000,"With earnings:","15,811","+/-2,319","13,492","18,130"
"C20005I",15.000,"$1 to $9,999 or loss","6,425","+/-1,617","4,808","8,042"
"C20005I",16.000,"$10,000 to $19,999","3,784","+/-1,126","2,658","4,910"
"C20005I",17.000,"$20,000 to $29,999"
