WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C19101H",.,"Universe:  Families with a householder who is White alone, not Hispanic or Latino",,,,
"C19101H",1.000,"Total:","123,981","+/-4,224","119,757","128,205"
"C19101H",2.000,"Less than $10,000","3,179","+/-986","2,193","4,165"
"C19101H",3.000,"$10,000 to $14,999","1,443","+/-608","835","2,051"
"C19101H",4.000,"$15,000 to $24,999","7,156","+/-1,394","5,762","8,550"
"C19101H",5.000,"$25,000 to $34,999","11,746","+/-1,888","9,858","13,634"
"C19101H"
