051F",.,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (SOME OTHER RACE ALONE)",,,,
"B10051F",.,"Universe:  Grandparents (Some other race alone) living with own grandchildren under 18 years",,,,
"B10051F",1.000,"Total:","1,201","+/-568","633","1,769"
"B10051F",2.000,"Grandparent responsible for own grandchildren under 18 years:","138","+/-134","4","272"
"B10051F",3.000,"30 to 59 years","138","+/-134","4","272"
"B10051F",4.000,"60 yea
