",30.000,"$2,500 to $4,999","3,055","+/-878","2,177","3,933"
"B20005H",31.000,"$5,000 to $7,499","4,353","+/-1,063","3,290","5,416"
"B20005H",32.000,"$7,500 to $9,999","2,298","+/-769","1,529","3,067"
"B20005H",33.000,"$10,000 to $12,499","2,994","+/-935","2,059","3,929"
"B20005H",34.000,"$12,500 to $14,999","1,032","+/-500","532","1,532"
"B20005H",35.000,"$15,000 to $17,499","2,308","+/-714","1,594","3,022"
"B20005H",36.000,"$17,500 to $19,999","1,984","+/-705","1,279","2,689"
"B20005H",37.000,"$20,000 to 
