2",20.0,"Native Hawaiian and Other Pacific Islander","0.1","+/-0.1","N","N",,,,,,,,
"S1902",21.0,"Some other race","1.5","+/-0.2","12,321","+/-2,199",,,,,,,,
"S1902",22.0,"Two or more races","1.5","+/-0.3","7,845","+/-2,149",,,,,,,,
"S1902",22.3,,,,,,,,,,,,,
"S1902",23.0,"Hispanic or Latino origin (of any race)","3.2","+/-0.4","12,926","+/-1,755",,,,,,,,
"S1902",24.0,"White alone, not Hispanic or Latino","63.3","+/-0.8","23,325","+/-792",,,,,,,,
"S1902",24.3,,,,,,,,,,,,,
"S1902",24.5,"PERCENT IMPUTED",,,,,,
