Car, truck, or van - drove alone","N","N","N","N"
"C08105C",3.000,"Car, truck, or van - carpooled","N","N","N","N"
"C08105C",4.000,"Public transportation (excluding taxicab)","N","N","N","N"
"C08105C",5.000,"Taxicab, motorcycle, bicycle, walked, or other means","N","N","N","N"
"C08105C",6.000,"Worked at home","N","N","N","N"
"C08105D",.,"MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE)",,,,
"C08105D",.,"Universe:  Asian alone workers 16 years and over",,,,
"C08105D",1.000,"Total:","90,330","+/-2,614","87,716",
