000,"Professional, scientific, and management, and administrative and waste management services","376","+/-275","101","651"
"C24070",53.000,"Educational services, and  health care and social assistance","10,858","+/-1,736","9,122","12,594"
"C24070",54.000,"Arts, entertainment, and recreation, and accommodation and food services","438","+/-285","153","723"
"C24070",55.000,"Other services, except public administration","5,573","+/-1,344","4,229","6,917"
"C24070",56.000,"Public administration","0","+/-303","0"
