4.000,"45 to 54 years","25,168","+/-2,512","22,656","27,680"
"C06001",25.000,"55 to 64 years","22,858","+/-2,026","20,832","24,884"
"C06001",26.000,"65 to 74 years","14,241","+/-1,302","12,939","15,543"
"C06001",27.000,"75 years and over","15,664","+/-1,484","14,180","17,148"
"C06001",28.000,"Native; born outside the United States:","12,983","+/-3,276","9,707","16,259"
"C06001",29.000,"Under 5 years","1,124","+/-761","363","1,885"
"C06001",30.000,"5 to 17 years","2,558","+/-1,378","1,180","3,936"
"C06001",3
