s 9-12, no diploma","1,249",78,112,161,22,6,41,-,-,127,"..Grades 9-12, no diploma",241,81,133,182,6,1,35,22
..High school graduate,"3,744",322,267,375,58,25,105,12,23,427,..High school graduate,816,215,412,473,10,2,110,92
..Some college or AA degree,"3,110",270,203,240,124,14,94,17,10,411,..Some college or AA degree,796,160,227,362,37,9,75,60
..Bachelor's degree,"2,209",160,143,164,55,3,115,13,10,412,..Bachelor's degree,611,82,153,219,17,1,18,34
..Prof. or graduate degree,901,50,44,47,40,-,56,2,15,209,.
