onal, and related occupations","26,311","+/-2,432","23,879","28,743"
"B08524",35.000,"Service occupations","20,812","+/-2,236","18,576","23,048"
"B08524",36.000,"Sales and office occupations","19,972","+/-2,033","17,939","22,005"
"B08524",37.000,"Farming, fishing, and forestry occupations","1,137","+/-366","771","1,503"
"B08524",38.000,"Construction and extraction, and maintenance occupations","4,151","+/-1,058","3,093","5,209"
"B08524",39.000,"Production, transportation, and material moving occupations","8
