action, maintenance, and repair occupations","N","N","N","N"
"C24010E",15.000,"Production, transportation, and material moving occupations","N","N","N","N"
"C24010F",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (SOME OTHER RACE ALONE)",,,,
"C24010F",.,"Universe:  Civilian employed Some other race alone population 16 years and over",,,,
"C24010F",1.000,"Total:","N","N","N","N"
"C24010F",2.000,"Male:","N","N","N","N"
"C24010F",3.000,"Management, professional, and related occupat
