894999 ,NURSERY HERBACIOUS PERERNNIALS ,13 ,Contra Costa ,  ,  ,  ,  ,  ,1157000
2007 ,894999 ,NURSERY HERBACIOUS PERERNNIALS ,19 ,Fresno ,  ,  ,  ,  ,  ,5587000
2007 ,894999 ,NURSERY HERBACIOUS PERERNNIALS ,29 ,Kern ,  ,  ,  ,  ,  ,646000
2007 ,894999 ,NURSERY HERBACIOUS PERERNNIALS ,73 ,San Diego ,  ,  ,  ,  ,  ,19414900
2007 ,894999 ,NURSERY HERBACIOUS PERERNNIALS ,111 ,Ventura ,  ,  ,  ,  ,  ,19330000
2007 ,894999 ,NURSERY HERBACIOUS PERERNNIALS , 999, State Totals,0 ,  ,0 ,  ,    ,46134900
2007 ,
