nment, sports, and media occupations","N","N","N","N"
"B24010D",16.000,"Healthcare practitioner and technical occupations","N","N","N","N"
"B24010D",17.000,"Service occupations:","N","N","N","N"
"B24010D",18.000,"Healthcare support occupations","N","N","N","N"
"B24010D",19.000,"Protective service occupations","N","N","N","N"
"B24010D",20.000,"Food preparation and serving related occupations","N","N","N","N"
"B24010D",21.000,"Building and grounds cleaning and maintenance occupation","N","N","N","N"
"B24010D"
