,88.000,"Secretaries and administrative assistants","1,690","+/-729","961","2,419"
"B24020",89.000,"Other office and administrative support workers including supervisors","18,531","+/-2,176","16,355","20,707"
"B24020",90.000,"Farming, fishing, and forestry occupations:","4,301","+/-1,334","2,967","5,635"
"B24020",91.000,"Agricultural workers including supervisors","2,689","+/-907","1,782","3,596"
"B24020",92.000,"Fishing and hunting, and forest and logging workers","1,612","+/-817","795","2,429"
"B24020",93
