portation and warehousing, and utilities:","N","N","N","N"
"B24040",72.000,"Transportation and warehousing:","N","N","N","N"
"B24040",73.000,"Air transportation","N","N","N","N"
"B24040",74.000,"Rail transportation","N","N","N","N"
"B24040",75.000,"Water transportation","N","N","N","N"
"B24040",76.000,"Truck transportation","N","N","N","N"
"B24040",77.000,"U. S. Postal service","N","N","N","N"
"B24040",78.000,"Other transportation, and support activities, and couriers","N","N","N","N"
"B24040",79.000,"Wareh
