t Hispanic or Latino",280,"Electricity","20.0","+/-1.1","18.2","+/-1.1"
"450","Not Hispanic or Latino",281,"All other fuels","7.2","+/-0.7","8.0","+/-0.8"
"450","Not Hispanic or Latino",282,"No fuel used","0.2","+/-0.1","0.2","+/-0.1"
"450","Not Hispanic or Latino",283,"No telephone service available","7.9","+/-0.9","8.1","+/-1.0"
"450","Not Hispanic or Latino",284,"1.01 or more occupants per room","3.0","+/-0.6","1.7","+/-0.4"
"450","Not Hispanic or Latino",285,"Owner-occupied housing units","189,071","+/-
