,83.0,"10 to 14 minutes","6.3","+/-1.3","9.4","+/-1.9","8.2","+/-5.3","0.8","+/-0.6",,,,
"S0802",84.0,"15 to 19 minutes","9.5","+/-1.7","14.2","+/-2.8","14.7","+/-7.2","1.3","+/-1.1",,,,
"S0802",85.0,"20 to 24 minutes","8.2","+/-1.6","12.2","+/-2.8","10.2","+/-5.4","1.9","+/-1.1",,,,
"S0802",86.0,"25 to 29 minutes","4.1","+/-1.1","6.7","+/-1.7","7.3","+/-6.4","0.4","+/-0.5",,,,
"S0802",87.0,"30 to 34 minutes","16.8","+/-2.1","22.7","+/-3.4","12.3","+/-7.8","11.4","+/-3.2",,,,
"S0802",88.0,"35 to 44 minutes"
