nt sulfur,-,57,0,0,-,-10,-,-,-,6
,,0.31 to 1.00 percent sulfur,-,120,0,0,-,-35,-,-,-,109
,,Greater than 1.00 percent sulfur,-,250,0,0,-,17,-,-,-,204
,Petrochemical Feedstocks,,-,8,0,0,-,0,-,-,8,0
,,Naphtha for Petro. Feed. Use,-,0,0,0,-,0,-,-,0,0
,,Other Oils for Petro. Feed. Use,-,8,0,0,-,0,-,-,8,0
,Special Naphthas,,-,0,0,0,-,0,-,0,0,2
,Lubricants,,-,0,0,0,-,0,-,11,-11,0
,Waxes,,-,0,0,0,-,0,-,0,0,2
,Petroleum Coke,,-,551,0,-,-,23,-,4,524,66
,,Marketable,-,277,0,-,-,23,-,4,250,66
,,Catalyst,-,27
