4.000,"No earnings","198","+/-191","7","389"
"C20005",5.000,"With earnings:","968,797","+/-10,226","958,571","979,023"
"C20005",6.000,"$1 to $9,999 or loss","8,409","+/-1,387","7,022","9,796"
"C20005",7.000,"$10,000 to $19,999","53,961","+/-4,283","49,678","58,244"
"C20005",8.000,"$20,000 to $29,999","120,518","+/-5,997","114,521","126,515"
"C20005",9.000,"$30,000 to $49,999","259,347","+/-6,936","252,411","266,283"
"C20005",10.000,"$50,000 to $74,999","201,505","+/-5,977","195,528","207,482"
"C20005",11.00
