xtraction, maintenance, and repair occupations:","41,914","+/-2,934","38,980","44,848"
"B24011",30.000,"Construction and extraction occupations","39,469","+/-6,988","32,481","46,457"
"B24011",31.000,"Installation, maintenance, and repair occupations","46,286","+/-6,716","39,570","53,002"
"B24011",32.000,"Production, transportation, and material moving occupations:","30,137","+/-4,212","25,925","34,349"
"B24011",33.000,"Production occupations","34,864","+/-4,436","30,428","39,300"
"B24011",34.000,"Transporta
