$150,000 to $199,999","110","+/-144","0","254"
"C19101I",11.000,"$200,000 or more","0","+/-292","0","292"
"C19131",.,"FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"C19131",.,"Universe:  Families",,,,
"C19131",1.000,"Total:","25,446","+/-1,627","23,819","27,073"
"C19131",2.000,"Married-couple family:","16,699","+/-1,493","15,206","18,192"
"C19131",3.000,"With own children under 18 years:","7,090","+/-1,278","5,812","8,
