6",.,"HOUSEHOLD TYPE BY HOUSEHOLD SIZE",,,,
"C11016",.,"Universe:  Households",,,,
"C11016",1.000,"Total:","1,661,033","+/-7,953","1,653,080","1,668,986"
"C11016",2.000,"Family households:","1,189,043","+/-9,765","1,179,278","1,198,808"
"C11016",3.000,"2-person household","491,376","+/-8,308","483,068","499,684"
"C11016",4.000,"3-person household","282,051","+/-6,617","275,434","288,668"
"C11016",5.000,"4-person household","257,017","+/-7,735","249,282","264,752"
"C11016",6.000,"5-or-more person household",
